datetime,weekday,diferencia
2020-09-22 15:14:34,1,2.899999997
2020-09-22 15:18:15,1,3.683333335
2020-09-22 15:20:33,1,2.300000003
2020-09-22 15:42:28,1,21.91666667
2020-09-22 15:53:59,1,11.51666667
2020-09-22 16:00:55,1,6.93333333
2020-09-22 16:17:47,1,16.86666667
2020-09-22 16:18:31,1,0.733333327
2020-09-22 16:24:47,1,6.266666665
2020-09-22 16:25:49,1,1.033333334
2020-09-22 16:28:58,1,3.150000003
2020-09-22 16:29:14,1,0.266666666
2020-09-22 16:30:30,1,1.266666669
2020-09-22 16:45:56,1,15.43333334
2020-09-22 16:52:41,1,6.749999996
2020-09-22 17:01:29,1,8.800000004
2020-09-22 17:19:50,1,18.34999999
2020-09-22 17:38:34,1,18.73333333
2020-09-22 18:21:07,1,42.55
2020-09-22 18:23:23,1,2.266666662
2020-09-22 18:26:15,1,2.866666666
2020-09-22 18:28:08,1,1.883333334
2020-09-22 18:42:32,1,14.4
2020-09-22 18:43:31,1,0.983333333
2020-09-22 18:44:09,1,0.633333335
2020-09-22 18:44:13,1,0.066666661
2020-09-22 19:06:22,1,22.15
2020-09-22 19:14:48,1,8.433333335
2020-09-22 19:26:00,1,11.2
2020-09-22 19:44:56,1,18.93333334
2020-09-22 20:12:42,1,27.76666666
2020-09-22 20:20:59,1,8.283333342
2020-09-22 20:39:00,1,18.01666667
2020-09-22 20:53:51,1,14.84999999
2020-09-22 20:57:02,1,3.183333334
2020-09-22 20:57:06,1,0.066666672
2020-09-22 21:05:03,1,7.949999993
2020-09-22 21:20:59,1,15.93333334
2020-09-22 21:42:55,1,21.93333333
2020-09-22 22:01:44,1,18.81666668
2020-09-22 22:20:05,1,18.34999999
2020-09-22 22:24:18,1,4.216666667
2020-09-22 22:24:34,1,0.266666666
2020-09-22 23:02:06,1,37.53333334
2020-09-22 23:19:05,1,16.98333333
2020-09-23 00:16:26,2,57.35
2020-09-23 00:16:38,2,0.200000005
2020-09-23 05:18:21,2,301.7166667
2020-09-23 05:29:56,2,11.58333334
2020-09-23 06:22:23,2,52.45
2020-09-23 06:22:24,2,0.01666666
2020-09-23 06:23:10,2,0.766666668
2020-09-23 06:59:15,2,36.08333333
2020-09-23 07:03:28,2,4.216666667
2020-09-23 07:17:34,2,14.1
2020-09-23 07:24:52,2,7.300000009
2020-09-23 08:24:40,2,59.79999999
2020-09-23 08:27:51,2,3.183333334
2020-09-23 08:28:04,2,0.216666665
2020-09-23 08:45:51,2,17.78333334
2020-09-23 11:05:04,2,139.2166667
2020-09-23 11:22:08,2,17.06666666
2020-09-23 12:05:31,2,43.38333333
2020-09-23 12:41:39,2,36.13333334
